,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
5,0.0,0.0,-3.0,0.16117216117216127,0.8799999999999999,10.0,-1.0999999999999999,12.0,3.01,34.0,20.0,-0.30000000000000004,0.0
6,0.0,0.0,0.0,0.09523809523809523,0.6299999999999999,11.0,-0.7999999999999998,16.0,1.05,40.0,58.0,0.8,0.0
7,-1.0,0.0,-1.0,-0.03463203463203457,0.5899999999999999,3.0,-0.5099999999999998,1.0,1.8699999999999999,11.0,13.0,-0.7000000000000001,1.0
8,3.0,0.0,0.0,0.11309523809523814,1.7200000000000002,-2.0,0.0,11.0,0.8699999999999999,17.0,27.0,0.0,0.0
9,0.0,10.0,1.0,0.023809523809523836,1.3199999999999998,11.0,-1.13,7.0,3.7299999999999995,46.0,42.0,-0.20000000000000007,1.0
0,0.0,0.0,-1.0,0.1298701298701298,0.3999999999999999,-12.0,0.029999999999999805,11.0,-1.19,-2.0,11.0,0.7000000000000001,0.0
1,-2.0,0.0,-1.0,0.10606060606060608,-1.69,6.0,-0.6800000000000002,0.0,1.3900000000000001,24.0,-5.0,2.1,1.0
2,2.0,0.0,0.0,0.09881422924901184,-1.93,-13.0,-0.18999999999999995,13.0,-0.41999999999999993,6.0,25.0,0.4,0.0
3,5.0,0.0,3.0,-0.09569377990430628,-1.22,-7.0,1.9500000000000002,-16.0,-2.4,-31.0,12.0,0.30000000000000004,1.0
4,-1.0,0.0,-1.0,-0.023569023569023573,-1.08,-2.0,-0.08999999999999986,8.0,1.31,-1.0,1.0,0.19999999999999998,1.0
5,1.0,0.0,1.0,0.03463203463203457,-0.5899999999999999,-3.0,0.5099999999999998,-1.0,-1.8699999999999999,-11.0,-13.0,0.7000000000000001,0.0
6,0.0,0.0,-1.0,0.0505050505050505,-0.8900000000000001,-8.0,-0.2400000000000002,7.0,3.02,12.0,-5.0,0.5,0.0
7,-1.0,0.0,-3.0,0.08522727272727271,-0.7600000000000002,2.0,-0.78,18.0,-0.6199999999999999,-15.0,21.0,1.7,1.0
8,1.0,10.0,2.0,0.058441558441558406,0.73,8.0,-0.6200000000000001,6.0,1.8599999999999999,35.0,29.0,0.5,1.0
0,1.0,0.0,-1.0,0.13492063492063489,-0.16999999999999993,-6.0,-0.8900000000000001,-2.0,-0.8700000000000001,-1.0,-22.0,0.8,0.0
1,4.0,10.0,3.0,0.19444444444444442,-0.06000000000000005,-8.0,-1.1,7.0,1.0899999999999999,20.0,-5.0,0.1,0.0
2,2.0,0.0,-2.0,0.20085470085470092,-0.2799999999999998,13.0,-1.51,-2.0,1.46,24.0,-26.0,0.5,0.0
4,3.0,10.0,-2.0,0.06156156156156156,1.42,0.0,0.7999999999999998,-12.0,-1.46,30.0,-21.0,0.6,0.0
5,4.0,10.0,1.0,-0.05555555555555558,-0.6199999999999997,-9.0,1.3600000000000003,-11.0,0.41000000000000014,14.0,-30.0,0.5,1.0
6,2.0,0.0,0.0,0.02777777777777779,-0.5899999999999999,-9.0,2.8499999999999996,-10.0,-0.42000000000000015,-7.0,-5.0,0.0,1.0
7,0.0,10.0,-2.0,-0.09064327485380119,-1.0099999999999998,-2.0,-0.6400000000000001,10.0,-0.6800000000000002,23.0,-13.0,0.5,0.0
8,3.0,10.0,1.0,0.05555555555555558,-1.71,-17.0,-0.08999999999999986,-8.0,-1.21,7.0,-55.0,2.6,1.0
0,-5.0,0.0,-5.0,0.04761904761904767,-2.84,3.0,-1.2800000000000002,-1.0,1.82,19.0,12.0,-0.3999999999999999,0.0
1,-5.0,0.0,-6.0,-0.10571428571428565,-0.8199999999999998,-5.0,-0.7000000000000002,6.0,-0.8599999999999999,3.0,19.0,-1.8,0.0
2,-2.0,0.0,-2.0,-0.08571428571428574,-0.69,-4.0,-0.5800000000000001,8.0,1.34,24.0,10.0,-1.3,0.0
3,1.0,0.0,1.0,0.0714285714285714,-2.04,-2.0,-0.1200000000000001,-9.0,0.9099999999999999,11.0,33.0,-1.3,1.0
4,-3.0,0.0,-4.0,-0.058441558441558406,0.3899999999999997,-5.0,0.79,1.0,-1.97,-36.0,28.0,-1.2000000000000002,1.0
5,-3.0,0.0,-4.0,-0.09340659340659341,-0.3599999999999999,-16.0,2.7899999999999996,4.0,2.24,22.0,37.0,-2.6,1.0
6,-4.0,0.0,-5.0,-0.2142857142857143,-1.06,-8.0,0.020000000000000018,7.0,-1.08,-5.0,16.0,-0.8,1.0
7,1.0,0.0,-3.0,-0.11904761904761907,-0.48,-2.0,1.1599999999999997,2.0,1.03,9.0,-7.0,-1.6,1.0
0,5.0,0.0,-1.0,-0.04347826086956519,2.88,12.0,1.4299999999999997,-2.0,-1.19,-38.0,-20.0,0.0,1.0
1,6.0,0.0,-4.0,-0.41666666666666663,0.3900000000000001,-2.0,0.6000000000000001,-12.0,-0.6299999999999999,62.0,-20.0,0.0,1.0
2,4.0,0.0,0.0,-0.24,0.33000000000000007,5.0,1.9500000000000002,-12.0,-1.19,-38.0,-56.0,0.4,1.0
3,3.0,0.0,0.0,-0.08333333333333337,-0.050000000000000266,-6.0,-0.8900000000000001,6.0,1.98,12.0,-17.0,0.1,1.0
4,0.0,0.0,-2.0,-0.16666666666666663,-1.02,-9.0,-0.48,5.0,-1.19,-38.0,-100.0,0.0,1.0
