first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Marcus,Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,21,10,0,n/a,1.42,33%,2.27,59%,1.69,27%,27%,1.3
David,Avellan,n/a,"5' 9""",185 lbs.,n/a,Orthodox,2,1,0,n/a,3.33,25%,10,57%,0,0%,0%,0
Blas,Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,7,6,0,n/a,2.34,47%,3.36,43%,2.37,80%,50%,1.8
Levi,Avera,n/a,"6' 1""",170 lbs.,n/a,n/a,16,10,0,n/a,0,0%,0,0%,0,0%,0%,0
Anthony,Avila,n/a,"5' 7""",145 lbs.,n/a,n/a,6,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Chris,Avila,n/a,"5' 10""",145 lbs.,"72.0""",Orthodox,5,4,0,n/a,2.37,30%,4.17,48%,0,0%,46%,0
Saad,Awad,Assassin,"5' 11""",155 lbs.,n/a,n/a,9,5,0,n/a,2.13,26%,1.87,60%,0.5,16%,100%,0.5
Javy,Ayala,Eye Candy,"6' 1""",265 lbs.,n/a,n/a,8,5,0,n/a,0.83,25%,5,33%,0,0%,0%,0
Jessin,Ayari,Abacus,"6' 0""",170 lbs.,"73.0""",Orthodox,16,3,0,n/a,4.67,40%,3.13,65%,0,0%,0%,0
Luiz,Azeredo,n/a,"5' 9""",154 lbs.,n/a,Orthodox,15,10,0,n/a,2.16,39%,2.76,57%,1.07,50%,45%,0.3
Luciano,Azevedo,n/a,"6' 3""",161 lbs.,n/a,Orthodox,16,9,1,n/a,0.76,45%,1.97,27%,2.28,11%,0%,0
Niklas,Backstrom,n/a,"6' 1""",145 lbs.,"74.0""",Orthodox,8,2,0,n/a,1.12,41%,3.65,40%,2.92,80%,72%,2.2
Seth,Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"74.0""",Orthodox,18,11,0,n/a,3.08,31%,3.14,51%,0.89,16%,48%,0.8
Ryan,Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5,0,n/a,2.82,43%,1.39,71%,3.37,44%,80%,0.4
Izabela,Badurek,n/a,"5' 5""",115 lbs.,n/a,Orthodox,5,3,0,n/a,3.74,71%,4.9,32%,1.75,12%,100%,0
